spec,maxl,maxw,maxth,maxstl,maxstw,Site
asc608,43.45,24.92,10.21,13.35,15.85,Pov Pt
asc503,43.1,14.29,7.28,14.77,11.99,Pov Pt
asc481,41.83,22.63,9.93,15.71,18.67,Pov Pt
9058,41.08,26.2,9.56,12.05,16.25,Pov Pt
asc505,40.46,25.29,7.9,12.37,15.31,Pov Pt
asc611,39.76,21.93,8.13,13.47,15.81,Pov Pt
asc504,38.2,21.34,6.2,11.05,14.87,Pov Pt
fs634,70.58,18.56,14.91,12.73,14.11,Means
fs612,53.72,23.14,7.98,7.22,15.45,Means
fs335,65.44,23.75,11.6,13.93,14.98,Means
fs551,53.04,25.29,10.26,11.48,19.47,Means
fs606,46.5,20.5,8.38,11.02,13.55,Means
fs635,45.79,20.86,6.41,11.85,17.59,Means
fs644,57.72,23.55,11.2,14.21,19.3,Means
fs544,42.92,21,6.18,11.34,14.98,Means
fs617,58.87,22.78,13.61,7.11,14.06,Means
fs542,47.69,19.33,8.24,11.37,14.42,Means
fs325,45.26,20.02,6.57,14.85,16.06,Means
fs378,42.86,20.04,8.85,16.09,16.58,Means
fs731,63.05,22.04,11.23,23.34,19.86,Means
fs615,51.28,22.11,9.23,11.74,14.12,Means
fs663,45.83,20.74,8.38,10.78,12.4,Means
fs557,44.96,23.87,10.49,7.6,19.84,Means
fs706,46.02,14.11,7.25,5.14,11.59,Means
fs450,47.33,22.18,7.23,9.53,14.94,Means
fs176,52.32,21.2,7.05,13.34,13.87,Means
fs690,45.1,18.05,8.05,17.04,14.14,Means
fs706,38.08,17.75,5.87,6.89,11.3,Means
fs367,36.82,24.93,7.11,6.95,14.88,Means
fs635,39.28,23.2,7.09,13.06,16.34,Means
fs762,37.13,27.11,6.64,13.96,19.72,Means
fs394,49.62,20.37,8.72,14.56,14.66,Means
fs509,66.67,22.19,12.58,23.46,17.23,Means
fs359,53.56,44.22,8.06,16.45,19.58,Means
fs219,69.4,26.26,7.23,14.75,16.85,Means
fs451,50.74,18.45,6.5,10.83,10.94,Means
fs682,64.29,17.37,8.01,14.78,14.67,Means
fs604,45.53,19.34,6.82,10.55,13.07,Means
fs358,50.84,20.76,5.87,14.45,14.15,Means
fs710,52.51,20.47,7.14,16.56,15.65,Means
fs346,38.09,19.51,6.53,15.55,13.9,Means
fs623,50.69,32.18,7.41,11.89,18.32,Means
fs97,74.29,39.11,17.96,15.98,28.87,Cooper
fs167,62.11,22.13,12.15,12.84,13.79,Cooper
fs101,69.48,26.9,7.55,9.23,16.52,Cooper
fs225,35.42,29.67,8.59,12.39,22.23,Cooper
fs389,78.63,27.02,8.23,16.56,18.67,Cooper
fs194,48.85,29.37,7.45,17.92,17.56,Cooper
fs93,45.26,32.32,8.22,13.57,17.76,Cooper
fs582,80.61,34.98,11.19,15.71,19.77,Cooper
fs551,50.96,34,10.24,10.6,18.88,Cooper
